date,open,high,low,close,adjClose,volume
2026-04-08,78.10,79.25,78.10,79.20,78.72,227364928
2026-04-07,75.15,75.45,74.65,75.30,74.84,76885542
2026-04-02,75.90,76.05,73.80,73.95,73.50,105707506
2026-04-01,75.00,75.60,74.60,75.45,74.99,126562159
2026-03-31,73.35,73.45,72.15,72.35,71.91,231400782
2026-03-30,73.30,74.05,72.80,73.90,73.45,158608942
2026-03-27,74.45,75.10,74.10,75.00,74.55,106078935
2026-03-26,76.30,76.85,75.60,75.80,75.34,76157584
2026-03-25,76.35,76.65,76.00,76.20,75.74,91456088
2026-03-24,75.50,75.60,73.80,74.40,73.95,83942753
2026-03-23,73.50,74.45,73.30,74.25,73.80,210502502
2026-03-20,76.20,76.40,75.50,75.90,75.44,67265037
2026-03-19,76.60,76.80,75.95,76.00,75.54,128778782
2026-03-18,77.75,78.05,77.45,77.80,77.33,72305179
2026-03-17,76.45,77.00,76.30,76.65,76.19,61503521
2026-03-16,76.30,76.70,75.45,75.60,75.14,97649824
2026-03-13,75.15,76.55,75.00,75.95,75.49,105970280
2026-03-12,77.10,77.60,76.35,76.60,76.14,120680192
2026-03-11,76.30,78.50,76.10,78.20,77.73,147508364
2026-03-10,75.90,76.25,74.30,75.20,74.75,164247105
2026-03-09,73.15,73.60,71.65,73.60,73.15,493890200
2026-03-06,76.80,77.30,76.30,76.85,76.39,139697065
2026-03-05,78.30,78.85,76.70,77.40,76.93,194777972
2026-03-04,77.40,77.45,75.50,75.60,75.14,455564304
2026-03-03,80.05,80.40,78.65,78.75,78.27,288356288
2026-03-02,79.50,80.80,79.15,80.35,79.86,204278933
2026-02-26,81.25,81.50,80.80,81.15,80.66,123812672
2026-02-25,80.35,81.80,80.25,81.10,80.61,158561421
2026-02-24,77.95,79.65,77.85,79.40,78.92,143721014
2026-02-23,78.45,78.45,77.20,77.40,76.93,212974781
2026-02-11,75.90,77.45,75.90,77.20,76.73,114028587
2026-02-10,74.65,75.50,74.60,75.50,75.04,98559015
2026-02-09,74.05,74.15,73.75,73.95,73.50,118533745
2026-02-06,71.40,72.25,70.80,71.90,71.47,102980565
2026-02-05,72.05,72.25,71.75,72.00,71.56,95746290
2026-02-04,72.40,73.15,72.30,72.90,72.46,56597222
2026-02-03,73.00,73.05,72.40,72.95,72.51,70926930
2026-02-02,71.55,71.75,70.90,71.50,71.07,211262670
2026-01-30,73.15,73.20,72.30,72.60,72.16,159055585
2026-01-29,74.40,74.50,73.50,73.75,73.30,111905919
2026-01-28,73.55,74.20,73.50,74.20,73.75,87294077
2026-01-27,72.40,73.15,72.35,73.05,72.61,70421120
2026-01-26,72.25,72.65,72.20,72.25,71.81,84082813
2026-01-23,72.10,72.30,71.80,72.25,71.81,68701320
2026-01-22,71.90,72.05,71.60,71.80,71.37,96360058
2026-01-21,71.80,72.50,71.70,71.85,70.42,161269608
2026-01-20,71.90,72.65,71.85,72.60,71.16,104977401
2026-01-19,71.70,72.80,71.45,72.60,71.16,116848644
2026-01-16,71.75,72.10,71.20,72.00,70.57,97268614
2026-01-15,70.70,70.70,70.15,70.65,69.25,89452635
2026-01-14,70.95,71.10,70.65,70.75,69.34,82266008
2026-01-13,71.10,71.20,70.30,70.70,69.29,99445355
2026-01-12,70.50,70.55,70.05,70.35,68.95,80365400
2026-01-09,69.80,70.25,68.90,69.85,68.46,106682469
2026-01-08,69.65,70.35,69.40,70.10,68.71,71394567
2026-01-07,70.40,70.45,69.70,69.85,68.46,113869755
2026-01-06,69.45,70.40,68.95,70.40,69.00,125256215
2026-01-05,68.10,70.05,68.05,69.50,68.12,225924687
2026-01-02,66.00,67.00,65.80,66.95,65.62,77878570
